"","lad2014_code","dorling_03","dorling_04","dorling_05","dorling_06","dorling_07","dorling_08","dorling_09","dorling_10","dorling_11","dorling_12","dorling_13","dorling_14","dorling_15"
"1","E06000001",4,4,5,2,5,4,4,1,5,4,1,4,5
"2","E06000002",2,5,3,2,1,1,5,2,1,3,4,0,5
"3","E06000003",5,1,1,4,3,2,2,0,3,1,4,1,5
"4","E06000004",2,0,5,1,1,1,3,0,4,1,3,2,5
"5","E06000005",0,4,1,4,4,3,5,1,2,4,4,2,4
"6","E06000006",3,0,1,5,4,5,4,0,4,4,4,1,5
"7","E06000007",1,1,1,4,4,2,1,1,1,4,5,0,5
"8","E06000008",5,1,2,2,4,4,3,0,3,4,2,1,5
"9","E06000009",2,0,3,0,2,3,2,2,4,2,4,2,5
"10","E06000010",5,0,1,3,1,1,4,2,1,3,3,0,5
"11","E06000011",4,3,1,0,1,3,1,1,1,2,4,0,4
"12","E06000012",4,1,1,1,4,1,3,1,0,5,2,0,4
"13","E06000013",5,2,1,1,3,2,2,1,4,2,5,1,5
"14","E06000014",4,4,3,0,2,3,2,2,4,1,2,1,2
"15","E06000015",4,2,2,4,1,4,3,1,1,4,4,1,3
"16","E06000016",0,1,3,1,0,2,2,0,1,2,3,2,4
"17","E06000017",5,5,1,5,5,4,3,4,5,5,1,5,5
"18","E06000018",2,0,4,0,5,4,0,0,1,3,4,0,4
"19","E06000019",3,2,5,1,3,4,1,1,1,3,3,1,5
"20","E06000020",1,4,5,0,1,1,3,3,3,2,5,1,4
"21","E06000021",5,3,1,1,2,4,2,0,1,1,4,1,5
"22","E06000022",4,4,2,0,2,2,2,1,1,2,4,2,4
"23","E06000023",2,0,0,0,2,4,2,1,0,2,2,0,3
"24","E06000024",3,1,1,3,2,2,1,0,4,1,2,2,5
"25","E06000025",3,2,2,3,2,3,2,1,2,1,2,0,5
"26","E06000026",1,3,0,1,1,4,1,1,1,1,5,2,5
"27","E06000027",3,4,1,0,4,1,4,2,2,1,5,4,4
"28","E06000028",1,2,0,2,1,5,3,1,1,4,4,0,5
"29","E06000029",4,5,1,2,2,5,1,2,1,3,5,1,5
"30","E06000030",3,0,2,2,1,2,2,4,1,2,3,1,3
"31","E06000031",3,3,4,4,1,4,4,0,2,4,1,1,5
"32","E06000032",4,1,3,4,3,5,2,0,1,5,4,0,5
"33","E06000033",4,2,0,2,1,2,2,3,2,1,3,1,5
"34","E06000034",4,3,4,2,1,5,1,2,2,5,1,3,5
"35","E06000035",2,2,1,1,1,4,4,1,1,5,0,1,5
"36","E06000036",5,2,5,1,2,4,5,1,5,5,1,0,5
"37","E06000037",3,4,0,2,3,1,4,3,2,4,3,1,4
"38","E06000038",2,2,4,1,1,5,3,2,3,3,5,1,5
"39","E06000039",4,3,4,4,4,5,1,4,3,4,5,4,5
"40","E06000040",0,5,1,4,2,1,4,0,3,4,2,0,5
"41","E06000041",2,2,1,5,1,4,2,3,2,4,5,1,3
"42","E06000042",4,2,1,0,0,4,3,0,3,4,3,1,5
"43","E06000043",3,1,0,2,1,2,1,0,2,3,2,0,5
"44","E06000044",4,3,1,0,2,2,4,1,4,1,5,3,2
"45","E06000045",2,4,0,3,1,4,1,0,2,5,1,0,4
"46","E06000046",1,1,1,1,0,4,3,4,4,1,5,0,5
"47","E06000047",1,3,2,0,1,2,1,0,1,1,3,0,3
"48","E06000049",1,4,0,2,1,2,2,3,0,2,4,0,4
"49","E06000050",2,2,1,2,0,3,1,1,0,3,1,0,3
"50","E06000051",2,1,1,0,2,3,1,2,0,2,4,0,4
"51","E06000052",1,1,2,0,1,0,3,0,0,1,3,0,3
"52","E06000053",1,1,0,1,0,1,0,1,4,1,5,0,4
"53","E06000054",1,2,0,1,1,3,2,1,1,1,4,0,4
"54","E06000055",0,4,3,0,5,2,5,2,0,4,1,1,5
"55","E06000056",2,4,2,1,0,2,2,0,1,2,4,1,3
"56","E06000057",5,1,1,0,3,2,0,1,2,1,3,0,5
"57","E07000004",1,1,2,4,1,2,4,1,2,4,4,4,4
"58","E07000005",4,1,2,5,2,5,4,4,5,4,1,5,2
"59","E07000006",5,1,5,2,2,4,5,4,4,5,4,2,5
"60","E07000007",1,5,1,2,1,5,4,2,4,0,4,2,5
"61","E07000008",3,4,1,4,4,5,3,1,5,5,4,0,5
