"","lad2014_code","rr_80_84_m","rr_85_89_m","rr_90p_m","rr_80_84_f","rr_85_89_f","rr_90p_f"
"1","E06000001",1.10737945492662,1.78007380073801,1.20489386792453,1.27624889478338,1.27879988262911,1.15863696224759
"7","E06000002",1.18461078738981,1.04406653426018,1.21917410973205,1.04326403887689,1.20009392163669,1.69468995592454
"13","E06000003",1.06133422694231,1.26547733187235,1.51472107438017,1.00046554934823,1.19125364431487,1.28560901147489
"19","E06000004",1.0983663269775,1.06751411026698,1.40095662213426,1.35368648648649,1.29382324426377,1.17237954798519
"25","E06000005",1.02013888888889,1.3144793047577,1.08893360160966,1.0189191321499,1.16924248191854,1.09170679874548
"31","E06000006",1.03073193619018,0.984113149241314,0.915756181713628,1.02817829283265,1.43649267399267,1.27417998317914
"37","E06000007",1.31847402177328,1.39398756167049,1.12162937464142,0.963379896196578,1.25644090936878,1.15154956689124
"43","E06000008",0.998422918999627,0.904326355340848,1.29871928002769,1.15217100868403,1.05558878436917,1.2222960323691
"49","E06000009",1.01968612274671,1.14126198146601,1.30041448909713,0.994067184620748,1.14708632466442,1.0572912855784
"55","E06000010",0.993352207193038,1.11016367265469,1.34415427882684,1.12754914589835,1.09108559383147,1.45295124360105
"61","E06000011",1.15624101925472,1.12871166060935,1.14092797515046,1.0363878521678,1.13328178709085,1.12718963106068
"67","E06000012",1.15438517570116,1.01981758232347,0.80186381852697,1.08957719714964,1.00030870417137,1.22205221514625
"73","E06000013",1.1671596692112,0.964205754719589,0.948652869972667,0.916919880534996,1.12977997229338,1.51961862852952
"79","E06000014",0.941495453801744,0.983555026139898,1.0511696270646,0.912490415016649,1.24471686285436,1.09491717661954
"85","E06000015",1.12863157802498,0.989170625811847,1.18971339105238,0.998351913738186,1.11845300342083,1.10644300035263
"91","E06000016",1.17250697413561,0.937106830900835,1.05230285770402,1.02840382834208,1.28028647526372,1.02011296765603
"97","E06000017",1.33004926108374,0.844738179969497,1.3448275862069,1.34500614358434,1.51875,1.16364657957578
"103","E06000018",1.02396517291418,0.974645466265578,1.20576884013813,1.00165380901852,1.07267699799839,1.19427911152491
"109","E06000019",1.18855720595854,1.02835730350379,1.32677370623387,1.05744837994926,1.15987284659557,1.31099456099456
"115","E06000020",1.04998762857446,1.10234965072759,1.13269617706237,0.956132838519364,1.06169811885038,1.38922741911872
"121","E06000021",1.23379177517361,1.01126027627214,1.21638924455826,1.20066660780505,0.849986587982833,1.45676921629504
"127","E06000022",1.01543379695085,1.20655186064925,1.04967348370814,0.903123543123543,0.864187227465916,1.41887806516627
"133","E06000023",1.08741571894486,0.965041282175814,0.926167132414468,1.02479338842975,1.11487735732775,1.17485265225933
"139","E06000024",1.13818947906027,1.04852962480081,1.01508808651666,1.35648752217525,1.1836782476359,1.15797194278035
"145","E06000025",1.02505681260453,1.14666869177805,1.01786846347516,1.27857464527447,1.24993811405793,1.36628532429525
"151","E06000026",0.937368304722611,1.11358807622972,1.2028723751496,1.10667317155948,1.14931282860349,0.973040752351097
"157","E06000027",0.913611866191097,1.01043589509275,1.06350267379679,1.27922415059838,1.06180577402415,1.21210736619542
"163","E06000028",1.51756714822605,0.985812490858564,1.05700781393509,1.30164443065467,0.912104800936768,1.22510078273282
"169","E06000029",1.2652733871912,1.13272743048024,1.09084734250297,0.919433072267711,1.26650397569332,1.43949397991455
"175","E06000030",1.03191988160999,1.04618170620839,0.888201193520887,0.888926368542791,1.30019295086185,0.977384801280167
"181","E06000031",1.1300723842948,1.09908160587772,0.975179260893547,1.05982905982906,1.40134853832926,1.23351715987986
"187","E06000032",1.15029221199186,1.1252648141036,1.012909632572,1.28064434110053,1.22422680412371,1.20594213196292
"193","E06000033",0.987736010717847,1.15558224137322,1.24653048495244,1.19249746963563,0.959663746152025,0.987472387145069
"199","E06000034",1.2222131147541,0.902287642397226,1.03342518881404,1.16334776334776,0.927052275889485,1.2403862579005
"205","E06000035",0.997371879106439,1.24795187129405,0.91924122148323,1.27814848067502,1.3004177104673,1.18641591581104
"211","E06000036",1.03541162227603,1.23041095890411,0.904774465840148,1.17210526315789,0.956664051115346,1.2366339577758
"217","E06000037",1.11832405430979,1.05061485489424,1.37555365318048,0.979497751124438,1.2126105980924,0.996424250571313
"223","E06000038",0.928149173699015,0.904347826086957,1.40052076068257,1.1255311673972,1.1199813721216,1.14699044174632
"229","E06000039",1.14955000228425,1.10859585958596,1.13929618768328,1.05981239460371,1.08478898380722,1.15191135734072
"235","E06000040",1.11139867569304,1.02543577017751,1.19180496074233,1.12605620111565,1.05317368053941,1.25572868927589
"241","E06000041",1.01201067615658,1.07515282272564,1.08229522654614,1.12093908776316,1.06469606221962,1.01210051594224
"247","E06000042",1.01161369193154,1.48646033688873,1.26023529411765,1.1903773972201,1.18983713355049,1.25843149739998
"253","E06000043",1.1728819384774,0.979368026514429,1.11277797028189,1.30613594560522,1.41561462040883,1.17342471511468
"259","E06000044",1.10323714496287,0.976893022581201,1.0527731092437,0.841314394417003,1.30832835226141,0.963022630645745
